mmsi;lon;lat;status;turn;speed;accuracy;course;heading;second;maneuver;spare_1;raim;radio;msg_type;repeat
256787000;8.314648;-33.365217;0;0.0;17.4;False;125.6;128;28;0;b'@';False;114695;1;0
352003339;14.133693;-30.847588;0;0.0;13.5;False;141.8;140;29;0;b'\x00';False;49165;1;0
372754000;4.037655;-33.292067;0;0.0;11.1;False;95.5;96;6;0;b'\x00';False;49153;1;0
354341000;3.674663;-32.341575;0;1.0;12.2;False;280.3;282;52;0;b'\x00';False;2236;1;0
636023327;12.740102;-29.873538;0;0.0;12.2;False;142.0;145;30;0;b'\x00';False;66740;1;0
366771000;11.578873;-32.09724;0;0.0;17.6;False;117.3;117;30;0;b'\x00';False;114704;1;0
357395000;11.059215;-33.583513;0;0.0;12.8;False;290.3;281;33;0;b'\x00';False;33987;1;0
314601000;1.801553;-33.699002;0;0.0;12.6;False;95.1;92;29;0;b'\x00';False;26712;1;0
477620900;10.456977;-32.037677;0;2.0;15.2;False;112.5;113;34;0;b'\x00';False;26712;1;0
352001447;11.809182;-32.023033;0;0.0;17.2;False;298.2;298;34;0;b'\x00';False;2256;1;0
538007194;4.285842;-33.893332;0;0.0;11.5;False;90.3;95;43;0;b'\x00';False;26712;1;0
636021561;13.32549;-32.134508;0;0.0;12.5;False;124.3;124;29;0;b'\x00';False;2229;1;0
601027720;13.825548;-29.871405;0;0.0;13.7;False;323.8;320;33;0;b'\x00';False;49156;1;0
477967700;16.112968;-32.627228;0;0.0;20.4;False;316.9;318;31;0;b'\x00';False;26712;1;0
636022285;10.460413;-31.615343;0;0.0;11.8;True;288.6;290;35;0;b'\x00';False;49160;1;0
538010074;5.085513;-32.37024;0;0.0;10.7;False;102.6;102;27;0;b'\x00';False;2270;1;0
538007895;8.91234;-31.677255;0;0.0;10.8;True;115.2;118;35;0;b'\x00';False;49153;1;0
538004386;11.840652;-30.008728;0;0.0;12.8;False;130.5;134;35;0;b'\x00';False;26712;1;0
352003981;15.303792;-32.002967;0;0.0;12.7;False;142.6;144;35;0;b'\x00';False;81929;1;0
366771000;11.579385;-32.097467;0;0.0;17.6;False;117.3;118;36;0;b'\x00';False;2262;1;0
601986000;18.42584;-33.902437;15;-128.0;0.0;False;5.0;511;37;0;b'\x00';False;66959;1;0
538006976;10.820888;-32.455492;0;3.0;15.2;False;115.9;113;37;0;b'\x00';False;2281;1;0
351178000;9.688585;-32.525593;0;2.0;11.5;False;102.8;105;37;0;b'\x00';False;81930;1;0
477620900;10.45744;-32.037832;0;1.0;15.2;False;111.8;113;40;0;b'\x00';False;49159;1;0
352001447;11.808603;-32.02278;0;-0.0;17.1;False;297.8;297;41;0;b'\x00';False;26712;1;0
636023327;12.740505;-29.873982;0;-1.0;12.2;False;142.0;145;39;0;b'\x00';False;34316;1;0
376371000;17.515278;-32.675538;0;0.0;6.4;False;337.6;344;44;0;b'\x00';False;49154;1;0
538011005;9.810793;-30.711347;0;-2.0;13.3;False;299.9;299;36;0;b'\x00';False;26712;1;0
636014332;11.99692;-29.704243;0;0.0;10.1;False;141.6;142;27;0;b'\x00';False;2219;1;0
249472000;2.618302;-28.558662;8;2.0;8.8;False;118.3;127;38;0;b'\x00';False;114700;1;0
352879000;14.538137;-31.269407;0;0.0;17.6;False;319.3;321;41;0;b'\x00';False;34375;1;0
563004200;11.353235;-31.00066;0;-0.0;16.5;False;130.2;132;36;0;b'\x00';False;2247;1;0
563110200;2.016678;-31.06554;0;1.0;12.0;False;113.5;117;32;0;b'\x00';False;26712;1;0
538010507;13.177867;-29.819163;0;0.0;12.1;False;139.4;143;39;0;b'\x00';False;26712;1;0
563162000;7.837037;-30.93101;0;-2.0;10.8;False;114.6;113;12;0;b'\x00';False;34414;1;0
538010537;9.233503;-33.843267;0;4.0;10.1;False;91.0;86;43;0;b'\x00';False;49155;1;0
636023070;14.799917;-30.494467;0;0.0;11.0;False;143.0;140;44;0;b'\x00';False;26712;1;0
235094793;6.60016;-29.859873;0;1.0;12.5;False;298.5;299;45;0;b'\x00';False;34478;1;0
563233200;8.902218;-32.480367;0;0.0;12.3;False;103.7;107;44;0;b'\x00';False;81920;1;0
304924000;15.806298;-28.79555;0;0.0;9.6;False;158.2;157;46;0;b'\x00';False;114690;1;0
311001553;-3.894983;-31.591088;0;4.0;11.0;False;288.8;289;46;0;b'\x00';False;49153;1;0
352001447;11.808193;-32.022598;0;0.0;17.1;False;297.9;298;46;0;b'\x00';False;67290;1;0
538007895;8.912872;-31.677463;0;3.0;10.7;True;114.8;118;45;0;b'\x00';False;26712;1;0
477967700;16.11206;-32.62639;0;0.0;20.4;False;317.4;318;43;0;b'\x00';False;100122;1;0
304053000;9.187203;-34.60035;0;-0.0;12.2;False;88.0;86;49;0;b'\x00';False;26403;3;0
352003691;12.952067;-28.694417;0;0.0;10.3;False;143.0;144;48;0;b'\x00';False;26712;1;0
372754000;4.03887;-33.292178;0;0.0;11.1;False;95.6;96;25;0;b'\x00';False;34615;1;0
366771000;11.58042;-32.097922;0;0.0;17.6;False;117.3;118;48;0;b'\x00';False;49168;1;0
538090574;0.512985;-31.557943;0;-2.0;12.6;False;110.7;108;43;0;b'\x00';False;26712;1;0
338619000;3.832867;-29.416967;0;0.0;16.2;False;296.0;295;47;0;b'\x00';False;2270;1;0
636023327;12.740907;-29.874425;0;-2.0;12.2;False;142.0;145;49;0;b'\x00';False;34676;1;0
265021000;12.888333;-28.572;0;0.0;15.8;False;143.3;142;52;0;b'\x00';False;2231;1;0
636014332;11.997222;-29.704583;0;0.0;10.1;False;141.6;142;36;0;b'\x00';False;34704;1;0
352001434;12.421663;-27.654652;0;0.0;11.8;False;139.9;143;51;0;b'\x00';False;49157;1;0
477620900;10.458365;-32.038157;0;0.0;15.2;False;112.1;113;52;0;b'\x00';False;49159;1;0
538011005;9.810137;-30.71103;0;-2.0;13.3;False;299.6;299;47;0;b'\x00';False;67501;1;0
357395000;11.057858;-33.583168;0;0.0;12.7;False;285.7;281;53;0;b'\x00';False;26712;1;0
563198100;12.18137;-28.547752;0;0.0;12.6;False;321.7;323;49;0;b'\x00';False;114692;1;0
248314000;12.032708;-28.152058;0;0.0;11.9;False;322.9;325;52;0;b'\x00';False;34752;1;0
636093237;12.278498;-28.116252;0;0.0;11.5;True;321.6;324;52;0;b'\x00';False;34782;1;0
994011728;32.114945;-35.449405;;;4.7;False;163.4;511;29;;;False;917510;18;0
636022208;27.084255;-33.755497;0;0.0;9.4;False;66.8;62;29;0;b'\x00';False;49266;1;0
372280000;30.58115;-32.90083;0;0.0;16.6;False;249.3;250;24;0;b'\x00';False;66636;1;0
636021536;29.420975;-31.988557;0;0.0;15.4;False;47.4;47;23;0;b'\x00';False;114737;1;0
994011728;32.114945;-35.449405;;;4.7;False;163.4;511;29;;;False;917510;18;0
636021546;30.128035;-31.947925;0;0.0;15.0;False;224.6;225;29;0;b'\x00';False;26704;1;0
355113000;20.486783;-34.971747;0;2.0;16.1;False;267.5;268;30;0;b'\x00';False;81945;1;0
563227500;27.582025;-33.906495;0;-22.0;9.1;True;70.6;64;29;0;b'\x00';True;7008;3;0
215126000;20.931868;-34.91866;0;-1.0;17.6;True;260.5;261;29;0;b'\x00';True;81955;1;0
232011742;27.74429;-33.569282;0;-2.0;18.3;False;245.5;253;28;0;b'\x00';False;2248;1;0
636024397;23.543617;-35.143817;0;0.0;9.4;False;76.0;72;30;0;b'\x00';False;26704;1;0
356505000;26.090658;-33.838413;0;0.0;8.0;True;302.4;312;29;0;b'\x00';False;2242;1;0
257389000;24.650215;-34.778222;0;13.0;15.3;False;81.6;82;29;0;b'\x00';False;0;3;0
636019094;20.3761;-34.9146;0;0.0;8.8;False;62.0;62;31;0;b'\x00';False;81946;1;0
255864560;24.889545;-34.379025;0;0.0;10.2;False;264.5;265;29;0;b'\x00';False;8960;3;0
241478000;29.56832;-32.345382;0;-0.0;14.4;False;231.2;229;24;0;b'\x00';False;81962;1;0
601487000;18.230945;-34.124773;0;-128.0;10.5;False;184.2;511;29;0;b'\x00';False;2232;1;0
357929000;33.696165;-32.698687;0;0.0;8.5;False;72.6;71;29;0;b'\x00';False;33944;1;0
447017000;28.609193;-33.2777;0;4.0;15.3;False;233.5;235;31;0;b'\x00';False;81993;1;0
601762000;19.610778;-35.763777;7;0.0;8.6;False;140.1;135;31;0;b'\x00';False;26704;1;0
353615000;28.674052;-33.80785;0;16.0;9.4;True;72.4;70;30;0;b'\x00';False;3344;3;0
372070000;28.925872;-33.817612;0;0.0;7.4;False;60.9;58;31;0;b'\x00';False;26704;1;0
431888000;17.892012;-34.438938;0;1.0;16.8;False;120.1;120;27;0;b'\x00';False;66735;1;0
636016038;26.228827;-35.834837;0;0.0;15.8;False;78.3;81;54;0;b'\x00';False;66748;1;0
477648600;18.300078;-34.78559;0;0.0;11.8;False;111.6;108;30;0;b'\x00';False;99517;1;0
538004316;18.19212;-34.098892;0;0.0;12.4;False;355.1;356;32;0;b'\x00';False;66752;1;0
205178000;26.228947;-33.948448;0;-1.0;1.0;False;271.7;187;30;0;b'\x00';False;114803;1;0
601333500;16.912083;-31.824967;7;0.0;7.8;True;138.0;141;33;0;b'\x00';False;99525;1;0
563227500;27.582112;-33.906472;0;28.0;9.0;True;71.2;64;31;0;b'\x00';True;4368;3;0
538011123;21.133603;-34.9006;0;0.0;10.9;False;259.0;259;30;0;b'\x00';False;114739;1;0
219077000;20.001333;-34.988862;0;0.0;14.6;False;286.3;288;33;0;b'\x00';False;80109;3;0
538009016;27.739;-34.288633;0;0.0;5.4;False;74.0;68;31;0;b'\x00';False;49194;1;0
403539000;24.547562;-34.822257;0;-0.0;12.1;False;84.7;87;24;0;b'\x00';False;2288;1;0
319122200;23.48545;-35.51465;0;0.0;14.6;False;231.0;229;33;0;b'\x00';False;34023;1;0
538007495;20.589858;-35.530887;0;0.0;12.7;True;93.5;95;31;0;b'\x00';False;49207;1;0
374129000;29.946913;-34.779372;0;0.0;11.3;False;225.1;225;20;0;b'\x00';False;2281;1;0
538010445;13.856153;-31.954042;0;1.0;14.7;False;308.1;310;33;0;b'\x00';False;2245;1;0
636020729;21.141668;-34.63649;0;-3.0;17.3;False;264.7;263;30;0;b'\x00';False;49193;1;0
357762000;23.252272;-36.997407;0;9.0;8.4;False;92.0;97;52;0;b'\x00';False;66809;1;0
538010068;35.06389;-30.994583;0;-3.0;11.7;False;245.7;249;33;0;b'\x00';False;66827;1;0
601970000;20.545855;-36.700603;7;0.0;0.2;True;198.0;219;34;0;b'\x00';True;0;3;0
431200000;15.722483;-33.709832;0;-2.0;15.9;False;121.4;122;13;0;b'\x00';False;26704;1;0
311000398;25.529853;-34.92046;0;-3.0;5.8;False;92.3;72;35;0;b'\x00';False;81992;1;0
311538000;27.778117;-33.703;0;0.0;7.1;False;71.0;69;31;0;b'\x00';False;2227;1;0
477142900;29.237758;-33.212282;0;0.0;6.9;False;73.1;69;33;0;b'\x00';False;12225;3;0
258003000;27.842882;-33.554328;0;0.0;14.4;False;238.2;243;33;0;b'\x00';False;2271;1;0
636021536;29.421305;-31.988332;0;0.0;15.4;False;48.8;47;28;0;b'\x00';False;81969;1;0
247379500;29.53521;-33.205528;0;-9.0;16.3;False;252.1;251;25;0;b'\x00';False;2230;1;0
355113000;20.486242;-34.971788;0;0.0;16.0;False;265.7;268;36;0;b'\x00';False;2272;1;0
636021546;30.127683;-31.948218;0;-1.0;15.0;False;224.4;225;35;0;b'\x00';False;66869;1;0
245912000;24.227403;-34.567798;0;1.0;10.8;False;85.0;86;36;0;b'\x00';False;26704;1;0
351090000;1.34551;-36.244252;0;-3.0;10.3;False;91.8;90;32;0;b'\x00';False;81921;1;0
257389000;24.650633;-34.778187;0;-14.0;15.2;False;82.2;81;34;0;b'\x00';False;2624;3;0
248302000;19.642432;-34.992242;0;0.0;14.8;False;265.5;264;36;0;b'\x00';False;26704;1;0
215126000;20.931277;-34.918732;0;0.0;17.8;True;262.1;261;35;0;b'\x00';True;49187;1;0
257389000;24.650633;-34.778187;0;-14.0;15.2;False;82.2;81;34;0;b'\x00';False;1472;3;0
563220800;21.929533;-34.701793;0;-1.0;13.2;False;80.2;80;35;0;b'\x00';False;26704;1;0
636022742;25.60825;-35.127683;0;0.0;6.9;False;88.0;79;35;0;b'\x00';False;66901;1;0
636019992;20.906672;-34.940047;0;-2.0;11.9;False;261.6;260;35;0;b'\x00';False;81963;1;0
636016680;17.0062;-35.5488;0;0.0;9.6;False;83.0;92;34;0;b'\x00';False;34143;1;0
241478000;29.567992;-32.345655;0;1.0;14.1;False;224.7;229;30;0;b'\x00';False;2287;1;0
405000348;28.16248;-33.661332;0;0.0;5.8;False;56.5;53;16;0;b'\x00';False;180314;1;0
601005500;21.439973;-35.593543;7;-128.0;4.9;False;121.5;511;37;0;b'\x00';True;66944;1;0
311000335;26.704353;-34.314522;0;-1.0;18.1;True;237.0;237;35;0;b'\x00';False;49275;1;0
258804000;26.201047;-34.605257;0;0.0;7.7;False;75.8;65;38;0;b'\x00';False;82005;1;0
538011195;24.974035;-34.627762;0;0.0;12.3;False;263.4;262;35;0;b'\x00';False;2243;1;0
636023935;33.786783;-28.587983;0;0.0;10.2;False;260.0;259;35;0;b'\x00';False;2315;1;0
352004147;29.696467;-34.415067;0;0.0;12.5;False;234.0;235;38;0;b'\x00';False;66961;1;0
311001111;19.701683;-35.187415;0;1.0;16.2;False;90.0;91;37;0;b'\x00';False;114730;1;0
636022208;27.084623;-33.755338;0;0.0;9.4;False;64.6;62;38;0;b'\x00';False;2277;1;0
601600400;31.029312;-29.863082;0;-128.0;0.0;True;317.5;511;38;0;b'\x00';False;66966;1;0
538007350;18.227863;-33.736655;0;-1.0;15.2;False;321.8;322;50;0;b'\x00';False;26704;1;0
538004184;21.791367;-34.823233;0;0.0;11.2;False;261.0;261;37;0;b'\x00';False;2260;1;0
311000430;25.188907;-34.531245;0;0.0;11.8;False;266.2;267;39;0;b'\x00';False;25891;3;0
257389000;24.650885;-34.778143;0;-13.0;15.2;False;80.6;80;37;0;b'\x00';False;4704;3;0
356505000;26.090377;-33.838183;0;0.0;7.8;True;318.6;312;38;0;b'\x00';False;114788;1;0
311052100;22.471575;-34.75699;0;0.0;11.2;False;262.4;262;40;0;b'\x00';False;49184;1;0
256349000;27.685835;-33.833078;0;-1.0;15.2;False;241.3;244;4;0;b'\x00';False;114752;1;0
538006922;27.716963;-33.665035;0;-0.0;16.4;False;226.6;226;24;0;b'\x00';False;34253;1;0
319122200;23.485067;-35.514917;0;0.0;14.6;False;232.0;229;39;0;b'\x00';False;26704;1;0
357460000;27.217783;-34.331033;0;0.0;14.7;False;259.0;267;40;0;b'\x00';False;67026;1;0
373789000;23.704235;-34.792505;0;0.0;10.4;False;76.1;75;33;0;b'\x00';False;49208;1;0
477686200;24.764853;-34.390882;0;0.0;10.6;False;262.5;264;40;0;b'\x00';False;26704;1;0
311001347;18.903022;-34.992795;0;0.0;14.7;False;289.6;290;38;0;b'\x00';False;26704;1;0
563885000;22.369557;-35.043268;0;0.0;11.3;False;73.7;77;40;0;b'\x00';False;49204;1;0
431200000;15.722928;-33.710073;0;-1.0;16.0;False;123.6;122;19;0;b'\x00';False;26704;1;0
636093117;31.541523;-29.719443;0;1.0;8.3;False;352.1;354;40;0;b'\x00';False;49219;1;0
352003063;23.353773;-34.820478;0;1.0;11.8;False;70.9;73;39;0;b'\x00';False;19923;3;0
563039700;15.235483;-31.484733;0;0.0;17.3;False;143.4;145;38;0;b'@';False;26704;1;0
563076400;22.948062;-34.921482;0;-1.0;11.8;False;74.1;73;31;0;b'\x00';False;2223;1;0
563167700;26.10416;-34.20251;0;2.0;12.5;False;261.4;263;41;0;b'\x00';False;49293;1;0
352003078;20.397167;-34.954667;0;0.0;11.7;False;269.0;268;40;0;b'\x00';False;49178;1;0
355113000;20.485697;-34.971808;0;-1.0;16.1;False;266.9;268;42;0;b'\x00';False;34322;1;0
636020986;21.105667;-35.145967;0;4.0;20.3;True;85.3;86;40;0;b'\x00';True;99862;1;0
255864560;24.888967;-34.379065;0;0.0;10.3;False;265.6;265;39;0;b'\x00';False;8544;3;0
371618000;28.351333;-33.202;0;0.0;13.2;False;48.0;48;39;0;b'\x00';False;49264;1;0
373988000;15.790143;-34.111385;0;-1.0;12.2;False;292.7;293;15;0;b'\x00';False;49169;1;0
370271000;29.468162;-31.820085;0;0.0;8.0;False;218.0;216;41;0;b'\x00';False;78093;3;0
372070000;28.926233;-33.817435;0;0.0;7.4;False;59.2;58;41;0;b'\x00';False;2277;1;0
215126000;20.930688;-34.918802;0;0.0;17.5;True;261.8;261;41;0;b'\x00';True;2277;1;0
538007549;25.542517;-34.293983;0;0.0;10.8;False;264.0;263;42;0;b'\x00';False;26704;1;0
357929000;33.696675;-32.698587;0;0.0;8.6;False;75.8;71;40;0;b'\x00';False;49155;1;0
477202600;27.527502;-34.824198;0;-2.0;11.8;False;86.9;81;36;0;b'\x00';False;2265;1;0
6010026;27.91152;-33.024558;;;;False;;;41;;b'\x00\x00';True;2250;4;0
538011123;21.133;-34.900697;0;0.0;10.9;False;259.0;260;40;0;b'\x00';False;26704;1;0
311000398;25.53011;-34.920433;0;-3.0;5.5;False;84.7;72;43;0;b'\x00';False;67143;1;0
357762000;23.252702;-36.997422;0;5.0;8.3;False;92.2;97;1;0;b'\x00';False;26704;1;0
120;17.722052;-34.379863;;;;False;;;43;;b'\x00';False;;21;0
563153600;26.027082;-34.321888;0;-2.0;12.0;False;241.5;241;44;0;b'\x00';False;2280;1;0
355037000;19.841585;-36.456283;0;0.0;13.1;False;62.5;66;42;0;b'\x00';False;114704;1;0
538006508;30.126763;-34.002192;0;0.0;9.4;False;68.6;66;32;0;b'\x00';False;2293;1;0
563178600;19.783618;-34.937783;0;0.0;11.3;False;285.6;287;43;0;b'\x00';False;26704;1;0
601180400;17.563072;-33.377173;0;127.0;5.4;False;254.0;255;44;0;b'\x00';False;0;3;0
249251000;34.492502;-35.06194;0;1.0;8.5;False;91.4;95;29;0;b'\x00';False;49154;1;0
265827240;16.76421;-33.156422;0;0.0;16.5;False;316.0;316;44;0;b'\x00';False;34425;1;0
257389000;24.651407;-34.778095;0;16.0;15.3;False;81.9;82;43;0;b'\x00';False;2240;3;0
